"CRCO#","CRREG","CRCNM","CRDIV","CRIND","CREXD","CRCNTR","CRFL01","CRFL02","CRREGO","CR198O","CRMID#","CRLANG","CRDATF","CRARTC","CRTID#","CRVERT","CRVCO","CRSFA","CRAID","CR$CD","CRRCY","CRHAZT","CRCLIB","CRRLIB","CRBLUM","CRBLWF","CRRPT","CRVIPQL","CRIMPF","CRBRID","CRACTG","CRBAPV","CRPBYC","CRCLNT","Frt Invoices Paid thru","CRMRCID","CRMRCREF","CRMRCTKN","CRMRCJSK","CRHRR","Vertex Start Date","Cheapest Carrier","PNP Group Freight","Sidetrade for A/R","Fedex Server Library","BCS for POD con fee","C2FO vendor payemnts","Landscape Order Ack","Cost Sensitive Comp","IntrCo PO LyrCst Adj","Inc in Div Loc Rvw"
1,"CO","BUNZL DISTRIBUTION USA,INC.","CORP",0,0,"US","N","Y","N","",0,"","M","N",0,"N","","N","N","","N","U","DSFILES01","DSFILESCO","LB",.0000000,"CO","","","","","D","N","","CASS","","","","","Y",0,"","Y","N","FX400SEP","N","Y","N","N","N","N"
2,"CO","BUNZL USA,INC.","CORP",0,0,"US","N","Y","Y","",0,"","M","N",0,"N","","N","N","","N","U","DSFILES02","DSFILESCO","LB",.0000000,"CO","","","","Y","D","N","","CASS","","","","","Y",0,"","Y","N","FX400SEP","N","Y","N","N","N","N"
