"USRNAM","USRCO#","USRLCN","USRLCR","USRCFL","USRLFL","USRLFR","USRCST","USRMCS","USRSHL","USRMNU","USRAUT","USFIRC","USRC01","USRC02","USRC03","USRC04","USRC05","USRC06","USRC07","USRC08","USRC09","USRC10","USRC11","USRC12","USRSIT","USRDFL","USRRFL","USRRGR","USXCO#"
"COCCISAYA","01","001","001","N","N","N","N","N","N","","","","","","","","","","","","","","","","","N","N","N",1
"COCCISAYA","02","002","002","N","N","N","Y","Y","N","","","N","","","","","","","","","","","","","COREG","N","N","N",2
